"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"ab",-1,"2026-02-07","2026-01-31","pct wk covid lab det","quantile",0.025,1.715
"ab",-1,"2026-02-07","2026-01-31","pct wk covid lab det","quantile",0.1,2.165
"ab",-1,"2026-02-07","2026-01-31","pct wk covid lab det","quantile",0.25,2.7525
"ab",-1,"2026-02-07","2026-01-31","pct wk covid lab det","quantile",0.5,4
"ab",-1,"2026-02-07","2026-01-31","pct wk covid lab det","quantile",0.75,4.9475
"ab",-1,"2026-02-07","2026-01-31","pct wk covid lab det","quantile",0.9,5.535
"ab",-1,"2026-02-07","2026-01-31","pct wk covid lab det","quantile",0.975,6.235
"ab",-1,"2026-02-07","2026-01-31","pct wk flu lab det","quantile",0.025,1.2225
"ab",-1,"2026-02-07","2026-01-31","pct wk flu lab det","quantile",0.1,1.3275
"ab",-1,"2026-02-07","2026-01-31","pct wk flu lab det","quantile",0.25,3.0475
"ab",-1,"2026-02-07","2026-01-31","pct wk flu lab det","quantile",0.5,6.0275
"ab",-1,"2026-02-07","2026-01-31","pct wk flu lab det","quantile",0.75,8.7575
"ab",-1,"2026-02-07","2026-01-31","pct wk flu lab det","quantile",0.9,11.1025
"ab",-1,"2026-02-07","2026-01-31","pct wk flu lab det","quantile",0.975,13.2825
"ab",-1,"2026-02-07","2026-01-31","pct wk rsv lab det","quantile",0.025,5.5025
"ab",-1,"2026-02-07","2026-01-31","pct wk rsv lab det","quantile",0.1,6.32
"ab",-1,"2026-02-07","2026-01-31","pct wk rsv lab det","quantile",0.25,7.35
"ab",-1,"2026-02-07","2026-01-31","pct wk rsv lab det","quantile",0.5,9.415
"ab",-1,"2026-02-07","2026-01-31","pct wk rsv lab det","quantile",0.75,11.53
"ab",-1,"2026-02-07","2026-01-31","pct wk rsv lab det","quantile",0.9,12.585
"ab",-1,"2026-02-07","2026-01-31","pct wk rsv lab det","quantile",0.975,13.6525
"ab",0,"2026-02-07","2026-02-07","pct wk covid lab det","quantile",0.025,2.19428571428571
"ab",0,"2026-02-07","2026-02-07","pct wk covid lab det","quantile",0.1,2.52571428571429
"ab",0,"2026-02-07","2026-02-07","pct wk covid lab det","quantile",0.25,2.91285714285714
"ab",0,"2026-02-07","2026-02-07","pct wk covid lab det","quantile",0.5,3.8
"ab",0,"2026-02-07","2026-02-07","pct wk covid lab det","quantile",0.75,4.54285714285714
"ab",0,"2026-02-07","2026-02-07","pct wk covid lab det","quantile",0.9,4.98857142857143
"ab",0,"2026-02-07","2026-02-07","pct wk covid lab det","quantile",0.975,5.36285714285714
"ab",0,"2026-02-07","2026-02-07","pct wk flu lab det","quantile",0.025,2.81571428571429
"ab",0,"2026-02-07","2026-02-07","pct wk flu lab det","quantile",0.1,3.05142857142857
"ab",0,"2026-02-07","2026-02-07","pct wk flu lab det","quantile",0.25,4.03428571428571
"ab",0,"2026-02-07","2026-02-07","pct wk flu lab det","quantile",0.5,5.33428571428571
"ab",0,"2026-02-07","2026-02-07","pct wk flu lab det","quantile",0.75,6.98714285714286
"ab",0,"2026-02-07","2026-02-07","pct wk flu lab det","quantile",0.9,7.81428571428571
"ab",0,"2026-02-07","2026-02-07","pct wk flu lab det","quantile",0.975,8.71285714285714
"ab",0,"2026-02-07","2026-02-07","pct wk rsv lab det","quantile",0.025,7.58714285714286
"ab",0,"2026-02-07","2026-02-07","pct wk rsv lab det","quantile",0.1,8.14714285714286
